Antenne Vorarlberg Die 80er,http://webradio.antennevorarlberg.at:80/80er,Oldies,Austria
Antenne Vorarlberg Die 90er,http://webradio.antennevorarlberg.at:80/90er,Oldies,Austria
Antenne Vorarlberg Oldies,http://webradio.antennevorarlberg.at:80/oldies,Oldies,Austria
Webradio Golden Flash,http://stream.intronic.nl:80/goldenflash,Oldies,Belgium
Nostalgie,http://ice35.infomaniak.ch:8000/nostalgiewhatafeeling-128.mp3,Oldies,Belgium
Nostalgie,http://ice35.infomaniak.ch:8000/nostalgiepremium-128.mp3,Oldies,Belgium
Nostalgie 60,http://ice38.infomaniak.ch:8000/nostalgie60-128.mp3,Oldies,Belgium
Nostalgie 70,http://ice39.infomaniak.ch:8000/nostalgie70-128.mp3,Oldies,Belgium
Nostalgie 80,http://ice34.infomaniak.ch:8000/nostalgie80-128.mp3,Oldies,Belgium
Nostalgie 90,http://ice32.infomaniak.ch:8000/nostalgie90-128.mp3,Oldies,Belgium
Darik Nostalgie,http://darikradio.by.host.bg:8000/Nostalgie,Oldies,Bulgaria
Frekvence 1 Legendy,http://pool.cdn.lagardere.cz:80/web-f1-legendy,Oldies,Czech Republic
Oldies Radio,http://icecast7.play.cz:443/oldies128.mp3,Oldies,Czech Republic
Radio City Osmdesátka - 80s,http://ice.abradio.cz:8000/city80128.mp3,Oldies,Czech Republic
Radio City Devadesátka - 90s,http://ice.abradio.cz:8000/city90128.mp3,Oldies,Czech Republic
Gold FM,http://mp3.live.tv-radio.com/goldfm/all/goldfm.mp3,Oldies,France
HotmixRadio 80,http://streamingads.hotmixradio.fm/hotmixradio-80-128.mp3,Oldies,France
HotmixRadio 90,http://streamingads.hotmixradio.fm/hotmixradio-90-128.mp3,Oldies,France
M2 80,http://live.m2stream.fr/m280-128.mp3,Oldies,France
M2 90,http://live.m2stream.fr/m290-128.mp3,Oldies,France
Nostalgie,http://adwzg3.tdf-cdn.com/8472/nrj_172793.mp3,Oldies,France
Nostalgie Best of 60's,http://adwzg3.tdf-cdn.com/8565/nrj_167896.mp3,Oldies,France
Nostalgie Best of 70's,http://adwzg3.tdf-cdn.com/8566/nrj_179861.mp3,Oldies,France
Nostalgie Chansons Françaises,http://adwzg3.tdf-cdn.com/8564/nrj_163787.mp3,Oldies,France
Nostalgie Slow,http://adwzg3.tdf-cdn.com/8563/nrj_178223.mp3,Oldies,France
Nostalgie Best of 80's,http://adwzg3.tdf-cdn.com/8560/nrj_169022.mp3,Oldies,France
Nostalgie Disco,http://adwzg3.tdf-cdn.com/8562/nrj_174308.mp3,Oldies,France
Nostalgie Rock Legends,http://adwzg3.tdf-cdn.com/8561/nrj_171397.mp3,Oldies,France
Magic Radio - 80s,http://icecast.pulsradio.com:80/magicradioHD.mp3,Oldies,France
Radio Scoop 100% Années 80,http://stream.radioscoop.com:80/scoop1.mp3,Oldies,France
Die Neue 107-7 80er Radio,http://62.27.87.95:8000/ps-dieneue_80er/livestream_hi.mp3,Oldies,Germany
FFH Digital Die 80er,http://mp3.ffh.de/ffhchannels/hq80er.mp3,Oldies,Germany
FFH Digital Die 90er,http://mp3.ffh.de/ffhchannels/hqspezial.mp3,Oldies,Germany
Hamburg Zwei,http://radiohamburg.hoerradar.de/hamburg-zwei-mp3-128?sABC=54p5s763%230%23qs3106o50o285030q0q9945s87rnp635%23yvfgrayvir&amsparams=playerid:listenlive;skey:1422260067,Oldies,Germany
Oldie-Radio,http://www.oldie-radio.de:8000/,Oldies,Germany
radio GOLD,http://www.digitalradiostream.de:7000,Oldies,Germany
Radio Kö,http://s12.pop-stream.de:12090/,Oldies,Germany
Radio Nora,http://stream.hoerradar.de:80/nora128,Oldies,Germany
radio SAW-70er,http://stream.hoerradar.de/saw70er-128?sABC=54p5s83n%230%23qs3106o50o285030q0q9945s87rnp635%23yvfgrayvirrh&amsparams=playerid:listenliveeu;skey:1422260282,Oldies,Germany
radio SAW-80er,http://stream.hoerradar.de/saw80er-128?sABC=54p5s84q%230%23qs3106o50o285030q0q9945s87rnp635%23yvfgrayvirrh&amsparams=playerid:listenliveeu;skey:1422260301,Oldies,Germany
radio SAW-90er,http://stream.hoerradar.de/saw90er-128?sABC=54p5s867%230%23qs3106o50o285030q0q9945s87rnp635%23yvfgrayvirrh&amsparams=playerid:listenliveeu;skey:1422260327,Oldies,Germany
R.SH 80er,http://regiocast.hoerradar.de/rsh-80er-mp3-mq?sABC=54p5s87n%230%239503nnss074q2pn1n58n13482586o535%23yvfgrayvir&amsparams=playerid:listenlive;skey:1422260346,Oldies,Germany
RPR1 80er,http://217.151.152.243:80/stream14,Oldies,Germany
RauteMusik Goldies,http://goldies-high.rautemusik.fm,Oldies,Germany
SR 3 - Oldiewelt,http://gffstream.ic.llnwd.net/stream/gffstream_w26a,Oldies,Germany
Retro Radio,http://stream.retrofm.hu:8000/listen,Oldies,Hungary
RTÉ Gold,http://icecast2.rte.ie/gold,Oldies,Ireland
R101 Ottanta - 80s,http://str30.creacast.com/r101_thema1,Oldies,Italy
R101 Novanta - 90s,http://str30.creacast.com/r101_thema2,Oldies,Italy
RMC 80,http://shoutcast.unitedradio.it:1401/,Oldies,Italy
RMC 90,http://shoutcast.unitedradio.it:1403/,Oldies,Italy
Golden Radio Italia - 80s,http://streaming.radionomy.com/Goldenradio80s,Oldies,Italy
EldoRadio 80s,http://sc-80s.eldoradio.lu:80/,Oldies,Luxembourg
Radio 10,http://icecast.streaming.castor.nl:80/radio10,Oldies,Netherlands
Radio 10 90s Hits,http://icecast.streaming.castor.nl:80/r10_90s_mp3,Oldies,Netherlands
Radio 10 80s Hits,http://icecast.streaming.castor.nl:80/r10_80s_mp3,Oldies,Netherlands
Radio 10 60/70s Hits,http://icecast.streaming.castor.nl:80/r10_6070s_mp3,Oldies,Netherlands
Veronica192 - 60s/70s,http://server-07.stream-server.nl:8030,Oldies,Netherlands
Radio Veronica,http://8563.live.streamtheworld.com:80/VERONICA_SC,Oldies,Netherlands
P4 Retro,http://mms-live.online.no/p4_retro_mp3_mq,Oldies,Norway
Авторадио,http://89.20.132.26:8000/v3_1,Oldies,Russia
Retro FM,http://retroserver.streamr.ru:8043/retro128,Oldies,Russia
Fun Radio 80.90.Roky,http://stream.funradio.sk:8000/80-90-128.mp3,Oldies,Slovakia
Best FM,http://stream.bestfm.sk:80/128.mp3,Oldies,Slovakia
Radio Center 80s,http://212.18.63.51:8064/,Oldies,Slovenia
102-6 Guldkanalen,http://stream.dbmedia.se/gkMP3,Oldies,Sweden
Guldkanalen 60-tal,http://stream.dbmedia.se/gk60talMP3,Oldies,Sweden
Guldkanalen 70-tal,http://stream.dbmedia.se/gk70talMP3,Oldies,Sweden
Guldkanalen 80-tal,http://stream.dbmedia.se/gk80talMP3,Oldies,Sweden
Guldkanalen 90-tal,http://stream.dbmedia.se/gk90talMP3,Oldies,Sweden
Vinyl 107,http://194.16.21.227:8000/vinyl_se_mp3,Oldies,Sweden
Gold 102-4,http://gold24.xnk.nu:8080/,Oldies,Sweden
Energy 80s,http://ice13.infomaniak.ch:80/energy80s-high.mp3,Oldies,Switzerland
Energy 90s,http://ice13.infomaniak.ch:80/energy90s-high.mp3,Oldies,Switzerland
Traxx FM Gold Hits,http://ice13.infomaniak.ch:80/traxx017-low.mp3,Oldies,Switzerland
MyRadio Ретро,http://music.myradio.ua/retro128.mp3,Oldies,Ukraine
Русские Хиты 90x,http://music.myradio.ua/russkie-hity-90-h128.mp3,Oldies,Ukraine
Gold,http://81.20.48.12:80/GoldMP3,Oldies,United Kingdom
A-1 Mix Radio,http://streaming.streamonomy.com/a1mix?.mp3,Oldies,USA
181 FM Star 90s,http://relay.181.fm:8012/,Oldies,USA
Caroline Extra,http://streaming.radionomy.com/CAROLINEEXTRA?.mp3,Oldies,USA
Endless 80s Radio,http://streaming.radionomy.com/Endless80sRadio?.mp3,Oldies,USA
KQVM FM,http://192.240.102.5:8960/,Oldies,USA
The Disco Palace,http://s4.viastreaming.net:9040/,Oldies,USA
Radio Skipper,http://kos.broadstreamer.com:8700/,Oldies,USA